start_station_id,end_station_id,n_trips,duration
29,76,2,31723
30,14,1,27409
30,27,101,73834
30,28,1337,753913
30,29,6,8572
30,30,180,945753
30,31,4,8119
30,32,30,73907
30,33,8,9172
31,27,50,54216
31,28,176,181109
31,29,1278,620410
31,30,2,3868
31,31,75,1064562
31,32,26,1899121
31,33,71,48960
31,34,4,7854
31,35,90,142926
31,36,25,30753
31,37,2,11615
31,38,17,26740
31,70,1,7131
31,72,1,56649
32,2,2,156137
32,27,89,318078
32,28,1677,893112
32,29,12,17115
32,30,24,179417
32,31,47,584811
32,32,161,1157928
32,33,16,22466
32,36,1,1645
32,37,1,7530
32,38,3,105354
32,63,2,358425
33,9,2,21088
33,27,125,619396
33,28,430,950974
33,29,280,140956
33,30,5,6087
33,31,63,74016
33,32,17,38564
33,33,160,2570643
33,35,12,41386
33,36,20,63678
33,38,15,185751
34,21,2,4382
34,22,7,19881
34,24,4,7905
34,25,15,22728
34,27,1,3044
34,28,18,147795
34,29,32,54750
34,30,1,4048
34,31,8,15429
34,32,1,72535
34,33,5,19071
34,34,396,3056384
34,35,112,762995
34,36,429,1527783
34,37,712,570277
34,38,366,335007
34,70,2,153666
35,21,3,6904
35,22,3,7817
35,23,2,3837
35,24,2,3336
35,27,1,27984
35,28,8,96274
35,29,18,49012
35,30,1,4759
35,31,71,719711
35,32,2,8483
35,33,6,15019
35,34,68,648618
35,35,894,8264042
35,36,175,366287
35,37,164,338973
35,38,91,101341
35,70,3,58045
36,25,6,14630
36,27,5,10304
36,28,9,25151
36,29,72,174808
36,30,1,4072
36,31,15,108995
36,33,11,16668
36,34,262,1066178
36,35,260,402661
36,36,213,2624476
36,37,82,194256
36,38,87,39401
36,56,1,56583
36,70,1,3553
36,77,1,6598
37,21,2,5063
37,24,1,3006
37,25,4,6996
37,28,3,16450
37,29,10,28814
37,30,2,14905
37,31,1,2946
37,33,2,5321
37,34,739,827594
37,35,279,449578
37,36,106,245670
37,37,169,1732588
37,38,56,64794
38,27,8,15089
38,28,17,29732
38,29,47,133504
38,30,1,4517
38,31,18,27440
38,32,2,4907
38,33,23,35919
38,34,255,628684
38,35,125,276845
38,36,102,135504
38,37,61,91269
38,38,90,1929271
38,70,1,15940
39,31,1,6162
39,35,1,18112
39,39,614,5771049
39,41,157,151107
39,42,104,116238
39,45,231,316659
39,46,427,398650
39,47,230,118724
39,48,175,527863
39,49,132,93628
39,50,529,807533
39,51,84,133021
39,54,85,330116
39,55,374,217006
39,56,387,228946
39,57,331,248599
39,58,433,641050
39,59,359,567806
39,60,566,1799464
39,61,203,323719
39,62,480,253330
39,63,188,120480
39,64,180,139999
39,65,871,685902
39,66,1114,1050195
39,67,2087,1670634
39,68,128,223019
39,69,2854,1381926
39,70,1852,1466493
39,71,182,824309
39,72,774,1101649
39,73,218,706808
39,74,424,877347
39,75,301,514879
39,76,311,778939
39,77,897,891654
39,82,94,95162
41,39,456,330981
41,41,384,2361821
41,42,98,89091
41,45,84,66233
41,46,77,86634
41,47,156,395303
41,48,144,145960
41,49,209,104029
41,50,327,336111
41,51,164,137422
41,54,212,155751
41,55,684,283681
41,56,169,96076
41,57,147,169059
41,58,42,64187
41,59,87,311926
41,60,778,1026804
41,61,607,512630
41,62,188,104392
41,63,255,115932
41,64,174,113824
41,65,140,176220
41,66,83,87224
41,67,109,118810
41,68,136,136828
41,69,381,412802
41,70,1575,1480137
41,71,224,183292
41,72,161,175518
41,73,332,328796
41,74,152,125407
41,75,265,71628
41,76,345,207175
41,77,314,131935
41,82,335,121967
42,39,164,551426
42,41,84,103381
42,42,522,1804259
42,45,500,147232
42,46,92,94653
42,47,169,138520
42,48,187,170917
42,49,325,167849
42,50,276,244325
42,51,195,86884
42,54,198,138929
42,55,399,139396
42,56,473,112819
42,57,70,72577
42,58,23,30390
42,59,51,49443
42,60,948,669535
42,61,637,569549
42,62,51,80496
42,63,169,128868
42,64,101,104684
42,65,67,84619
42,66,57,78901
42,67,110,201723
42,68,34,26978
42,69,473,468353
42,70,1594,1467225
42,71,272,238609
42,72,110,99326
42,73,214,285099
42,74,205,92552
42,75,228,173767
42,76,248,158579
42,77,480,349109
42,82,231,84545
45,22,1,3237
45,39,426,260123
45,41,124,53469
45,42,709,295844
45,45,248,1013983
45,46,53,61717
45,47,278,137030
45,48,61,93036
45,49,271,145847
45,50,593,352500
45,51,170,94511
45,54,557,379683
45,55,892,381472
45,56,367,127852
45,57,287,190808
45,58,130,175367
45,59,34,34353
45,60,284,341392
45,61,291,243293
45,62,134,83722
45,63,233,112715
45,64,267,234597
45,65,130,205378
45,66,155,168998
45,67,138,128898
45,68,520,282721
45,69,369,310975
45,70,1124,982138
45,71,282,443618
45,72,163,132641
45,73,169,403763
45,74,143,64313
45,75,464,264376
45,76,533,478064
45,77,1048,483628
45,82,240,132798
46,39,460,378111
46,41,82,92316
46,42,88,110467
46,45,35,248771
46,46,319,2113379
46,47,169,155889
46,48,138,203994
46,49,58,39518
46,50,305,347045
46,51,185,115913
46,54,150,138375
46,55,263,266672
46,56,258,167714
46,57,77,77163
46,58,50,152721
46,59,38,100003
46,60,434,1164534
46,61,96,134851
46,62,50,34132
46,63,155,154773
46,64,104,196584
46,65,98,138851
46,66,72,127694
46,67,189,176284
46,68,104,93152
46,69,244,278641
46,70,200,379016
46,71,179,498942
46,72,100,109822
46,73,160,605262
46,74,116,167376
46,75,210,306213
46,76,219,217390
46,77,236,195000
46,82,123,323785
47,39,251,224133
47,41,155,58383
47,42,200,180432
47,45,219,154487
47,46,593,177113
47,47,206,1162662
47,48,93,172556
47,49,171,90525
47,50,527,515094
47,51,121,66186
47,54,142,101668
47,55,288,108846
47,56,126,131261
47,57,190,93143
47,58,105,111030
47,59,145,198428
47,60,398,866415
47,61,269,260747
47,62,171,140409
47,63,220,138600
47,64,536,209055
47,65,380,330071
47,66,287,260377
47,67,393,347466
47,68,121,58211
47,69,490,364006
47,70,799,559572
47,71,150,397016
47,72,219,245353
47,73,427,373530
47,74,364,276883
47,75,209,194150
47,76,210,325063
47,77,71,422223
47,82,217,143875
